categoria,pergunta,resposta
Julgamento,"Quais são os critérios de julgamento da Lei 14.133/2021?","Menor preço, maior desconto, melhor técnica ou conteúdo artístico, técnica e preço, maior lance (leilão) e maior retorno econômico."
Julgamento,"Quando usar técnica e preço? Qual a proporção máxima?","Quando a qualidade técnica é relevante (serviços intelectuais, tecnologia sofisticada, obras especiais de engenharia). Máximo de 70% de valoração para a proposta técnica."
Julgamento,"O que é o julgamento por maior retorno econômico?","Usado exclusivamente para contrato de eficiência. Considera a maior economia gerada. O contratado é remunerado por percentual da economia efetivamente obtida."
Julgamento,"Quais são os critérios de desempate em ordem?","1) Disputa final; 2) Desempenho contratual prévio; 3) Ações de equidade entre homens e mulheres; 4) Programa de integridade."
Julgamento,"Quando uma proposta de obra é considerada inexequível?","Quando o valor for inferior a 75% do orçamento da Administração."
Julgamento,"Quando se exige garantia adicional do licitante vencedor em obras?","Quando a proposta for inferior a 85% do valor orçado. A garantia equivale à diferença entre o valor orçado e o da proposta."
Habilitação,"Quais são as categorias de habilitação?","Jurídica, técnica (técnico-profissional e técnico-operacional), fiscal/social/trabalhista e econômico-financeira."
Habilitação,"Em geral, quando se exige a habilitação do licitante?","Apenas do licitante vencedor (após julgamento), salvo se a fase de habilitação for invertida para antes do julgamento."
Habilitação,"Quais documentos são exigidos na habilitação econômico-financeira?","Balanço patrimonial dos 2 últimos exercícios e certidão negativa de falência. Vedada exigência de valores mínimos de faturamento ou índices de rentabilidade."
Habilitação,"A exigência de atestados técnicos é restrita a quais parcelas?","Parcelas de maior relevância ou valor significativo do objeto, com valor individual igual ou superior a 4% do valor total estimado."
Contratação Direta,"Qual a diferença entre inexigibilidade e dispensa de licitação?","Na inexigibilidade, a competição é inviável (rol exemplificativo). Na dispensa, a competição seria possível mas a lei faculta não realizá-la (rol taxativo)."
Contratação Direta,"Cite 3 hipóteses de inexigibilidade de licitação.","1) Fornecedor exclusivo; 2) Profissional do setor artístico consagrado; 3) Serviços técnicos especializados de notória especialização; 4) Credenciamento; 5) Imóvel com características necessárias."
Contratação Direta,"É possível inexigibilidade para serviços de publicidade e divulgação?","Não. A lei veda expressamente a inexigibilidade para serviços de publicidade e divulgação."
Contratação Direta,"Qual o limite de valor para dispensa de licitação em obras e serviços de engenharia?","Inferiores a R$ 100.000,00. (Duplica para consórcio público ou agência executiva: R$ 200.000,00)"
Contratação Direta,"Qual o limite de valor para dispensa de licitação em outros serviços e compras?","Inferiores a R$ 50.000,00. (Duplica para consórcio público ou agência executiva: R$ 100.000,00)"
Contratação Direta,"O que caracteriza a licitação deserta e a licitação fracassada?","Deserta: não aparecem licitantes interessados. Fracassada: propostas com preços superiores ao praticado no mercado ou incompatíveis com os oficiais."
Contratação Direta,"Qual o prazo máximo para obras e serviços em dispensa por emergência ou calamidade?","Máximo de 1 ano contado da data de ocorrência. Vedada prorrogação e recontratação da mesma empresa."
Contratação Direta,"Na contratação direta indevida com dolo, fraude ou erro grosseiro, quem responde?","O contratado e o agente público responsável respondem solidariamente pelo dano causado ao erário."
Alienações,"Alienação de bem imóvel da Administração exige o quê?","Interesse público justificado, avaliação prévia, autorização legislativa (exceto se derivado de procedimento judicial ou dação em pagamento) e licitação na modalidade leilão."
Alienações,"Em quais casos a alienação de imóvel dispensa licitação?","Dação em pagamento, doação a outro órgão/entidade, permuta, investidura, venda a outro ente da Administração, habitação social, regularização fundiária — entre outros."
Alienações,"A alienação de bens móveis depende de qual modalidade?","Leilão. Dispensada em casos como doação para fins sociais, permuta entre órgãos, venda de ações em bolsa ou materiais sem utilização previsível."
Instrumentos Auxiliares,"Quais são os procedimentos auxiliares da licitação?","Credenciamento, pré-qualificação, procedimento de manifestação de interesse (PMI), sistema de registro de preços e registro cadastral."
Instrumentos Auxiliares,"Qual é o prazo de vigência da Ata de Registro de Preços (ARP)?","1 ano, podendo ser prorrogada por igual período (mais 1 ano) se comprovado preço vantajoso."
Instrumentos Auxiliares,"O que é o 'efeito carona' no SRP?","Possibilidade de órgão ou entidade que não participou da licitação aderir à ARP (órgão não participante), observados os limites de 50% por órgão e o dobro do quantitativo total."
Instrumentos Auxiliares,"A existência de preços registrados na ARP obriga a Administração a contratar?","Não. Implica compromisso de fornecimento pelo fornecedor, mas a Administração pode realizar licitação específica se motivar."
Princípios,"Cite 8 princípios expressos no art. 5º da Lei 14.133/2021.","Legalidade, impessoalidade, moralidade, publicidade, eficiência, interesse público, probidade, igualdade, planejamento, transparência, eficácia, segregação de funções, motivação, vinculação ao edital, julgamento objetivo, segurança jurídica, razoabilidade, competitividade, proporcionalidade, celeridade, economicidade e desenvolvimento nacional sustentável."
Princípios,"O que é o princípio da segregação de funções?","Vedação de designar o mesmo agente público para funções mais suscetíveis a riscos simultaneamente, reduzindo ocultação de erros e fraudes."
Crimes,"Os crimes de licitação da Lei 14.133/2021 estão em qual diploma legal?","No Código Penal (arts. 337-E a 337-P), inseridos como crimes contra a Administração Pública — e não na própria lei de licitações."
Crimes,"Qual a pena para contratação direta ilegal (art. 337-E)?","Reclusão de 4 a 8 anos e multa."
Crimes,"Qual a pena para fraude em licitação ou contrato (art. 337-L)?","Reclusão de 4 a 8 anos e multa."
Crimes,"Qual a pena para perturbação de processo licitatório (art. 337-I)?","Detenção de 6 meses a 3 anos e multa."
Crimes,"Qual a pena mínima de multa cominada aos crimes de licitação?","Não pode ser inferior a 2% do valor do contrato licitado ou celebrado com contratação direta."
Agentes,"Quem é o agente de contratação?","Servidor efetivo ou empregado público designado pela autoridade competente para conduzir a licitação, dar impulso ao procedimento e executar atividades até a homologação."
Agentes,"Em pregão, como é chamado o agente de contratação?","Pregoeiro."
Agentes,"Quando a comissão de contratação substitui o agente de contratação?","Em licitações de bens ou serviços especiais. Formada por no mínimo 3 membros, que respondem solidariamente, salvo posição individual divergente registrada em ata."
Agentes,"Quais vedações se aplicam ao agente público em licitações?","Não pode: restringir competitividade, estabelecer preferência por naturalidade/sede, incluir exigências impertinentes, tratar empresas brasileiras e estrangeiras de forma diferenciada, ou retardar ato de ofício injustificadamente."
